"","ESTIMATE","LOWER","UPPER","WINDOW","OCC.INT","ASPECT","ELE","DET.INT","SLOPE","TIME.BLOCK","HOURS","DENSITY","DENSITY.L","DENSITY.U"
"1",353.85555534376,289,429,"1 hour",2.64183675728246,-0.28997130237308,0.278359389266933,-6.25278865617671,-0.252171652767477,"hour1.state",1,34.5562065765391,28.22265625,41.89453125
"2",332.065937589168,269,403,"2 hour",2.65688286251395,-0.275542509880652,0.218376738730049,-5.52943299615129,-0.314453483513872,"hour2.state",2,32.4283142176922,26.26953125,39.35546875
"3",329.294393432747,267,400,"3 hour",2.6496738029512,-0.278679590205295,0.208463419675524,-5.14889535783887,-0.304639864048819,"hour3.state",3,32.1576556086667,26.07421875,39.0625
"4",331.612119099709,270,405,"4 hour",2.652988286493,-0.275777025408595,0.229945068482453,-4.89975618038067,-0.304144479524604,"hour4.state",4,32.3839960058309,26.3671875,39.55078125
"5",324.803218238972,261,397,"6 hour",2.63556722892202,-0.273276081730231,0.217191060024472,-4.50662192723296,-0.301750274613954,"hour6.state",6,31.7190642811497,25.48828125,38.76953125
"6",326.767986718707,264,401,"8 hour",2.63759474935283,-0.265021526699845,0.24481677118288,-4.27002356965157,-0.299692380605834,"hour8.state",8,31.9109362029988,25.78125,39.16015625
"7",312.561867556729,251,384,"12 hour",2.5941950309849,-0.269590050692609,0.235309364821375,-3.85783498848963,-0.295550586562891,"hour12.state",12,30.5236198785869,24.51171875,37.5
"8",284.846974980831,223,357,"24 hour",2.50564221562319,-0.258390032874763,0.228293887390553,-3.19245575346136,-0.288274693099887,"day.state",24,27.8170874004718,21.77734375,34.86328125
"9",259.913432866276,199,330,"48hour",2.40561842342413,-0.263314688025527,0.259310236832933,-2.58617624421681,-0.29061223768295,"hour48.state",48,25.3821711783473,19.43359375,32.2265625
"10",228.924973185865,167,305,"5day",2.28149092955003,-0.238937862580219,0.270343418580927,-1.94405380472416,-0.287154483780153,"day5.state",120,22.3559544126822,16.30859375,29.78515625
"11",217.674614452983,155,291,"1 week",2.23476661563809,-0.22923878495153,0.264212971984671,-1.70072032483216,-0.299413819411183,"week.state",168,21.2572865676742,15.13671875,28.41796875
