"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.1888917457644,0.153263412183074,14.2818936012579,2.83784231641491e-46,2926.49100355282,"S_1"
"SLOPE",-0.239601783029446,0.0876018967871194,-2.73512094848471,0.00623573590248844,2926.49100355282,"S_1"
"(Intercept)1",-3.09993827171895,0.146071630653818,-21.2220419382162,5.97711134191214e-100,2926.49100355282,"S_1"
"ASPECT",0.0500276400125,0.0827039700242262,0.604900103318444,0.545245374509959,2926.49100355282,"S_1"
"(Intercept)2",2.63145219123167,0.15261189245229,17.2427728203051,1.26806079109281e-66,3345.90516989594,"S_2"
"SLOPE1",0.0116286208371609,0.0689316179455438,0.168697923880847,0.86603425187893,3345.90516989594,"S_2"
"(Intercept)11",-3.6606207937755,0.15014291161822,-24.3809098566281,2.72644182356537e-131,3345.90516989594,"S_2"
"ASPECT1",0.171151901576105,0.0703664433238153,2.43229433649916,0.0150035094315002,3345.90516989594,"S_2"
"(Intercept)3",1.91938897494894,0.149666275329165,12.8244587548369,1.19618967269564e-37,1987.80344477241,"S_3"
"SLOPE2",0.0466322277641448,0.0997462276462869,0.467508685436293,0.64013597951045,1987.80344477241,"S_3"
"(Intercept)12",-3.67726038904605,0.142116010450764,-25.8750606450498,1.27133554229168e-147,1987.80344477241,"S_3"
"ASPECT2",-0.0506955088753873,0.109563749791719,-0.462703302613863,0.643577050686941,1987.80344477241,"S_3"
"(Intercept)4",1.6996903192984,0.143940745429111,11.8082639785652,3.53790720296234e-32,2389.08811207552,"S_4"
"SLOPE3",-0.307291031391352,0.110740307799732,-2.7748796937342,0.00552221313798882,2389.08811207552,"S_4"
"(Intercept)13",-3.0439439751682,0.122244388307996,-24.90048023717,7.35157748166822e-137,2389.08811207552,"S_4"
"ASPECT3",0.160752397723918,0.0951014329949798,1.69032571499111,0.0909656580865801,2389.08811207552,"S_4"
"(Intercept)5",0.85000743220259,0.164837107774794,5.15665097305576,0.000000251405791661639,1221.56066325987,"S_5"
"SLOPE4",0.162454217060122,0.149315347762777,1.08799409768793,0.276597713188848,1221.56066325987,"S_5"
"(Intercept)14",-3.00190183701342,0.118361036467661,-25.3622469572882,6.5843534061047e-142,1221.56066325987,"S_5"
"ASPECT4",0.0391051342486806,0.109772570605654,0.356237756234766,0.721662518771583,1221.56066325987,"S_5"
"(Intercept)6",2.21654754709858,0.151982095881124,14.5842675365676,3.53697739883103e-48,3153.32586421934,"S_6"
"SLOPE5",-0.218404162243321,0.0859159748037719,-2.5420669758115,0.0110199054828661,3153.32586421934,"S_6"
"(Intercept)15",-3.17810356113409,0.145283865586175,-21.8751307883461,4.48225212236928e-106,3153.32586421934,"S_6"
"ASPECT5",-0.223196826787448,0.0789548769904877,-2.82689094448641,0.00470023319195063,3153.32586421934,"S_6"
"(Intercept)7",2.43698969793368,0.127716092575429,19.081304859796,3.61129571604539e-81,3618.38026930365,"S_7"
"SLOPE6",-0.0899057584048467,0.0743937002378031,-1.20851306115247,0.226849974902466,3618.38026930365,"S_7"
"(Intercept)16",-3.10181172452066,0.121451628060788,-25.539482459372,7.18594488644049e-144,3618.38026930365,"S_7"
"ASPECT6",-0.116911475177167,0.0716920297588545,-1.63074578262625,0.102943971854221,3618.38026930365,"S_7"
"(Intercept)8",2.13902141248583,0.171743202355317,12.4547660876873,1.31737161135027e-35,2320.10414837364,"S_8"
"SLOPE7",-0.0147355081165433,0.0910363993100723,-0.161863916282033,0.871413018680527,2320.10414837364,"S_8"
"(Intercept)17",-3.63554061647053,0.167097229182886,-21.7570371109594,5.92554556505674e-105,2320.10414837364,"S_8"
"ASPECT7",0.130687874521457,0.0832089272490631,1.57059919941377,0.116275776054002,2320.10414837364,"S_8"
"(Intercept)9",1.49539723377359,0.146775418449672,10.1883356870575,2.23558585522313e-24,2540.19721117345,"S_9"
"SLOPE8",-0.131909987365514,0.11481538093951,-1.14888777345093,0.250602259841667,2540.19721117345,"S_9"
"(Intercept)18",-2.63832009420783,0.121523788442217,-21.710318021087,1.63919606109642e-104,2540.19721117345,"S_9"
"ASPECT8",-0.206702140613549,0.0941516728840216,-2.19541654738488,0.0281337311887329,2540.19721117345,"S_9"
